Letter_n,n,max_n,Letter_n+1,Freq
రా,4,5,డు,10
ఒ,1,13,డి,1
డి,2,13,ద,1
ద,3,13,ప్,1
ప్,4,13,పి,1
పి,5,13,న,1
న,6,13,పా,1
పా,7,13,ముం,1
ముం,8,13,బో,1
బో,9,13,లె,1
లె,10,13,నుం,1
నుం,11,13,డం,1
డం,12,13,గ,1
గ,13,13,-,6
డి,2,5,దా,2
దా,3,5,మ,2
మ,4,5,ర,6
డి,2,4,పి,1
పి,3,4,లి,2
ఒ,1,3,డి,1
డి,2,4,సి,3
సి,3,4,యు,3
డి,2,4,సె,3
సె,3,4,ల,1
ఒ,1,6,డి,1
డి,2,6,సె,1
సె,3,6,ల,1
ల,4,6,కాం,2
ఒ,1,3,డు,2
ఒ,1,5,డు,1
డు,2,5,దొ,1
దొ,3,5,డు,1
డు,4,5,కు,4
ఒ,1,4,డ్,5
డ,3,4,గ,1
ఒ,1,6,డ్,2
డ,3,6,గి,1
డ,3,6,గె,1
గె,4,6,డ,2
డ,5,6,వు,2
ఒ,1,5,డ్,2
డ్,2,5,డా,1
డా,3,5,ణ,1
డి,3,4,మి,1
ఒ,1,10,డ్,1
డ్,2,10,డి,3
డి,3,10,యా,1
యా,4,10,ణ,1
ణ,5,10,ము,1
ము,6,10,ఒ,1
ఒ,7,10,డ్,1
డ్,8,10,జి,1
జి,9,10,య,1
య,10,10,-,7
డ్,2,4,డీం,1
డీం,3,4,డు,5
డ్,2,4,డీ,1
డీ,3,4,డు,1
ఒ,1,3,డ్,2
డ్,2,3,డు,21
డ్,2,5,ద,1
డ్,2,3,దె,3
ఒ,1,6,ణ,1
ణ,2,6,గు,1
గు,3,6,బి,1
ఒ,1,5,ణి,1
ణి,2,5,బీ,1
బీ,3,5,జ,2
ఒ,1,6,త్,2
త,3,6,గి,3
ఒ,1,5,త్,9
త,3,5,డ,1
ఒ,1,4,త్,3
ఒ,1,3,త్,2
తి,3,5,యా,1
యా,4,5,డు,8
ఒ,1,11,త్,1
త్,2,11,తి,2
తి,3,11,లి,1
లి,4,11,రి,1
రి,5,11,త్,1
త్,6,11,త,3
త,7,11,పై,1
పై,8,11,కొ,1
కొ,9,11,ను,2
ను,10,11,చు,2
చు,11,11,-,14
తు,3,6,క,5
తు,3,5,కాం,2
తు,3,5,కొ,3
త్,2,4,తు,14
త్,2,5,తొ,1
తొ,3,5,ర,2
ఒ,1,4,దం,1
దం,2,4,గూ,1
గూ,3,4,డు,3
ఒ,1,5,ద,3
ద,2,5,డ,5
డ,3,5,యం,1
యం,4,5,డు,6
ఒ,1,6,ద,1
డ,3,6,యు,1
యు,4,6,రా,1
ఒ,1,3,ద,4
ఒ,1,4,ద,1
ద,2,3,వు,5
ద,2,5,వు,2
వు,3,5,బ,1
బ,4,5,డి,13
వు,3,5,వాం,2
ఒ,1,4,దిం,1
దిం,2,4,గి,1
గి,3,4,లు,4
ఒ,1,5,ది,1
ది,2,5,గి,1
గి,3,5,ళ్,3
ఒ,1,7,ది,1
ది,2,7,వి,2
వి,3,7,రి,1
రి,4,7,ప్,1
ప్,5,7,రా,1
రా,6,7,లు,7
ఒ,1,5,దుం,3
దుం,2,5,గం,1
గం,3,5,బా,4
ఒ,1,3,దుం,1
దుం,2,3,గు,2
దుం,2,5,గు,3
గు,3,5,వా,4
వా,4,5,టు,7
ఒ,1,3,దు,2
ఒ,1,5,దు,1
దు,2,5,గు,1
గు,3,5,బ,2
ఒ,1,3,ద్,4
ఒ,1,5,ద్,3
దా,3,5,ణ,1
ఒ,1,4,ద్,4
దా,3,4,ది,2
ది,3,4,క,8
ది,3,4,మి,3
ఒ,1,6,ద్,1
ద్,2,6,దొ,1
దొ,3,6,ణ,1
ణ,4,6,క,3
ఒ,1,6,నం,1
నం,2,6,గూ,1
గూ,3,6,డి,2
ఒ,1,4,న,4
న,2,4,గూ,1
న,2,4,రిం,3
న,2,4,రి,1
ఒ,1,3,న,1
న,2,4,రు,4
ఒ,1,5,న,1
న,2,5,రు,2
ఒ,1,7,న,1
న,2,7,వె,1
వె,3,7,ట్,1
ఒ,1,3,న్,1
ఒ,1,4,ప్,6
ప్,2,4,పం,4
పం,3,4,ద,1
పం,3,4,దం,1
ఒ,1,5,ప్,10
ప్,2,5,పం,3
పం,3,5,ద,2
ఒ,1,6,ప్,6
గిం,4,6,త,1
త,5,6,న,3
ప,3,4,మి,2
ప,3,6,రి,4
ఒ,1,8,ప్,2
ప,3,8,రి,3
రి,4,8,కిం,1
కిం,5,8,చు,1
చు,6,8,వాం,2
ఒ,1,11,ప్,1
ప్,2,11,ప,4
ప,3,11,రి,1
రి,4,11,కిం,1
కిం,5,11,పం,1
పం,6,11,బ,1
బ,7,11,డి,1
డి,8,11,న,1
న,9,11,వాం,1
వాం,10,11,డు,1
ప్,2,4,పా,2
పా,3,4,రు,9
ఒ,1,7,ప్,3
ప్,2,7,పిం,1
పిం,3,7,చ,1
చ,4,7,బ,2
ప్,2,7,పి,2
పి,3,7,ద,1
ద,4,7,మై,1
మై,5,7,న,3
ఒ,1,3,ప్,1
పు,3,6,కొ,2
కొ,4,6,న,2
న,5,6,క,14
ప్,2,8,పు,7
పు,3,8,కొ,1
ని,5,8,యి,1
యి,6,8,చ్,1
చ్,7,8,చు,3
పు,3,5,కొ,4
పు,3,7,కొ,1
ను,5,7,ట,3
పు,3,5,కో,1
పు,3,5,న,6
పు,3,4,లు,8
ప్,2,6,పె,3
పె,3,6,స,1
స,4,6,లా,4
లా,5,6,రు,2
ఒ,1,5,బ్,1
ఒ,1,4,బ్,1
బి,3,4,డి,1
ఒ,1,5,మ్,1
మ,3,5,చ్,3
ఒ,1,4,మ్,1
ఒ,1,3,మ్,1
ఒ,1,4,యా,1
యా,2,4,ర,3
ఒ,1,3,యా,1
యా,2,3,రి,2
ఒ,1,3,య్,1
ఒ,1,4,య్,2
ఒ,1,5,య్,1
య్,2,5,యా,8
యా,3,5,ర,5
యా,3,4,రి,2
ఒ,1,2,ర,1
ఒ,1,5,ర,5
గ,3,5,ల్,10
ఒ,1,4,ర,6
ర,2,4,గా,3
గా,3,4,లు,8
ఒ,1,3,ర,2
ర,2,3,గు,7
ఒ,1,6,ర,2
ర,2,6,చు,2
చు,3,6,బ,1
బ,4,6,ద్,2
ర,2,6,త,3
పొ,5,6,గ,1
ర,2,5,ప,6
ద,4,5,ను,2
ర,2,4,పి,1
పి,3,4,డి,5
ర,2,5,పె,1
ర,2,4,యు,2
ఒ,1,7,ర,1
ర,2,7,సి,1
సి,3,7,కొ,1
ఒ,1,3,రి,3
ఒ,1,5,రి,1
రి,2,5,గ,6
రి,2,3,జే,2
రి,2,3,మ,4
ఒ,1,4,రి,1
రి,2,4,మి,6
ఒ,1,3,రుం,1
ఒ,1,4,రు,2
రు,2,4,ద,2
ఒ,1,6,రు,1
రు,2,6,ద,1
ఒ,1,3,రు,1
రు,2,4,వుం,2
ఒ,1,3,ల,1
ఒ,1,2,లి,1
ఒ,1,4,లిం,1
లిం,2,4,పి,1
పి,3,4,క్‌,1
ఒ,1,3,లి,2
ఒ,1,10,లి,1
లి,2,10,దా,1
దా,3,10,మ,1
మ,4,10,ర,1
ర,5,10,దం,1
దం,6,10,డ,1
డ,7,10,ధా,1
ధా,8,10,రు,1
ఒ,1,4,లి,1
లి,2,4,వ,4
ఒ,1,3,లు,3
ఒ,1,7,లు,1
లు,2,7,కు,2
కు,3,7,ల,3
ల,4,7,మి,2
మి,5,7,ట్,1
ట్,6,7,ట,14
ఒ,1,2,లె,1
లె,2,2,-,15
ఒ,1,6,ల్,2
జి,3,6,క,2
క,4,6,సిం,1
సిం,5,6,ద,1
ఒ,1,4,ల్,5
ల్,2,4,జి,1
జి,3,4,న,1
ఒ,1,3,ల్,2
ఒ,1,5,ల్,4
బా,4,5,టు,14
లం,3,5,బో,2
బో,4,5,క,1
బో,4,5,వు,3
ల,3,6,గి,6
ల,3,4,మి,3
ల్,2,4,లెం,1
లెం,3,4,క,1
ల్,2,5,లె,8
లె,3,5,వా,2
ఒ,1,3,ళ,2
ళ,2,3,రు,1
ఒ,1,4,ళ,1
ళ,2,4,వ,4
ళ,2,3,వు,3
ఒ,1,4,ళ్,1
ళ్,2,4,టి,1
ఒ,1,3,ళ్,1
ఒ,1,6,ళ్,1
ళ్,2,6,లు,5
లు,3,6,పె,3
ఒ,1,3,వ్,1
ఒ,1,3,సం,1
ఒ,1,4,స,2
ఒ,1,3,స,1
ఒ,1,2,హో,1
ఓ,1,1,-,1
ఓం,1,2,క,1
ఓం,1,4,క,1
క,2,4,లి,2
లి,3,4,వె,1
వె,4,4,-,2
ఓం,1,4,కా,1
ఓం,1,3,డ్,1
ఓం,1,4,డ్,1
ఓ,1,3,క,1
ఓ,1,4,క,3
క,2,4,రిం,10
క,2,4,స్,2
ఓ,1,3,కి,1
ఓ,1,4,కి,2
ఓ,1,2,కు,1
ఓ,1,5,గా,1
ఓ,1,4,గి,2
గి,2,4,ర,2
ఓ,1,2,గు,1
ఓ,1,5,గు,1
గు,2,5,లొ,1
లొ,3,5,డు,1
డు,4,5,చు,14
ఓ,1,3,ఘ,1
ఘ,2,3,ము,4
ఓ,1,9,ఘ,1
ఘ,2,9,ర,1
ర,3,9,థు,1
థు,4,9,డు,3
డు,5,9,ఓ,1
ఓ,6,9,థ్,1
థ్,7,9,ర,1
ఓ,1,5,ఘ,1
ఘ,2,5,వం,2
వం,3,5,తు,2
ఓ,1,3,చె,1
చె,2,3,ల,2
ఓ,1,4,చె,1
చె,2,4,ల్,1
ఓ,1,10,చె,1
చె,2,10,ల్,1
ల్,3,10,ల,1
ల,4,10,వి,1
వి,5,10,ర,2
ర,6,10,హి,1
హి,7,10,ణీ,1
ణీ,8,10,వ,1
వ,9,10,ధ,1
ఓ,1,2,జ,1
ఓ,1,3,జ,1
జ,2,3,ము,20
ఓ,1,4,జ,1
జ,2,4,స్,5
ఓ,1,2,జే,1
ఓ,1,4,జే,2
జే,2,4,ప,1
జే,2,4,బం,1
బం,3,4,తి,6
ఓ,1,2,ట,1
ఓ,1,3,ట,3
ట,2,3,మి,2
ట,2,3,ము,35
ట,2,3,రు,2
ఓ,1,7,ట,1
ట,2,7,ర్,1
ర్,3,7,ల,1
ల,4,7,జా,1
జా,5,7,బి,1
బి,6,7,తా,1
తా,7,7,-,1
ఓ,1,3,టా,1
టా,2,3,యు,1
ఓ,1,3,టిం,1
టిం,2,3,గ్‌,3
గ్‌,3,3,-,7
ఓ,1,4,టి,1
టి,2,4,ల్,7
ఓ,1,7,టి,1
టి,2,7,ల్,1
ల్,3,7,లు,2
లు,4,7,చిం,1
చిం,5,7,ద,1
ద,6,7,అి,1
అి,7,7,-,1
ఓ,1,2,టు,1
ఓ,1,4,టు,4
టు,2,4,పా,1
ఓ,1,5,టు,1
టు,2,5,వు,1
వు,3,5,చ్,3
టు,2,4,సే,3
సే,3,4,యు,9
ఓ,1,3,ట్,1
ఓ,1,2,డ,1
ఓ,1,3,డం,1
ఓ,1,11,డిం,1
డిం,2,11,చు,2
చు,3,11,ట,1
ట,4,11,దం,1
దం,5,11,డ,1
డ,6,11,వ్,1
వ్,7,11,యూ,1
యూ,8,11,హ,1
హ,9,11,ము,1
ఓ,1,4,డిం,1
డిం,2,4,చె,1
ఓ,1,10,డిం,1
డిం,2,10,చె,1
ను,4,10,శు,1
శు,5,10,న,1
న,6,10,ళ్,1
ళ్,7,10,ళే,1
ళే,8,10,పు,1
ఓ,1,3,డి,1
ఓ,1,5,డి,1
ఓ,1,2,డు,1
ఓ,1,3,డు,1
డు,2,3,ట,6
ఓ,1,5,డు,1
డు,2,5,బి,1
ఓ,1,3,డ్,1
ఓ,1,3,తు,1
తు,2,3,వు,19
ఓ,1,5,థ,1
థ,2,5,డ్,1
డ్,3,5,రుం,1
ఓ,1,5,ద,1
ద,2,5,కం,1
కం,3,5,బ,5
ఓ,1,4,ద,1
ఓ,1,3,ద,1
ఓ,1,4,దా,2
దా,2,4,రు,2
దా,2,4,ర్,2
ఓ,1,3,ది,1
ఓ,1,2,దె,1
ఓ,1,4,దె,1
దె,2,4,కొం,1
కొం,3,4,గ,2
ఓ,1,5,దె,1
దె,2,5,కొ,2
కొ,3,5,అ,3
అ,4,5,కు,2
ఓ,1,4,ధ్,2
ఓ,1,5,ధ్,1
యా,3,5,ణ,6
ఓ,1,7,ధ్,1
ధ్,2,7,ర,1
ఓ,1,4,న,1
న,2,4,మా,4
మా,3,4,లు,9
ఓ,1,5,ని,1
ఓ,1,3,పి,1
ఓ,1,2,పు,1
ఓ,1,4,పు,1
పు,2,4,ట,4
ఓ,1,3,మ,2
మ,2,3,టి,3
ఓ,1,6,మ,2
న,3,6,గా,1
గా,4,6,య,1
న,3,6,గుం,1
గుం,4,6,ట,3
ఓ,1,5,మ,1
మ,2,5,న,7
న,3,5,పీం,2
పీం,4,5,ట,5
ఓ,1,2,ము,1
ఓ,1,3,య,1
ఓ,1,4,యా,1
ఓ,1,3,యా,1
ఓ,1,2,యి,1
ఓ,1,4,యి,1
యి,2,4,ర,3
ఓ,1,2,యీ,1
యీ,2,2,-,5
ఓ,1,2,ర,1
ఓ,1,7,రం,1
రం,2,7,త,1
త,3,7,ప్,1
ఓ,1,5,ర,4
గ,3,5,చ్,4
చ్,4,5,చే,3
ర,2,5,గి,3
ర,2,5,చ్,3
చ్,3,5,చు,3
చు,4,5,లు,1
ఓ,1,8,ర,1
ర,2,8,ట్,1
ట్,3,8,ట,1
ట,4,8,చె,1
చె,5,8,ప్,3
ప్,6,8,పు,3
పు,7,8,లు,2
ఓ,1,4,ర,6
ర,2,4,పా,6
ర,2,4,వో,2
సిం,3,4,పు,1
ఓ,1,2,రి,1
ఓ,1,10,రి,1
రి,2,10,మా,2
మా,3,10,వం,1
వం,4,10,గ,1
గ,5,10,డ,1
డ,6,10,మౌ,1
మౌ,7,10,ట,1
ట,8,10,బొం,1
బొం,9,10,కు,1
కు,10,10,-,4
ఓ,1,3,రి,1
ఓ,1,2,రు,1
ఓ,1,4,రు,3
రు,2,4,గా,3
గా,3,4,లి,6
ఓ,1,3,రు,2
రు,2,4,తీ,1
ఓ,1,3,రె,1
ఓ,1,4,ర్,2
చ,3,4,రి,9
ఓ,1,3,ర్,2
ఓ,1,5,ర్,1
ర్,2,5,చు,6
ఓ,1,7,ర్,1
ర్,2,7,చు,4
చు,3,7,కొ,2
ర్,2,4,తు,4
ఓ,1,2,ల,1
ఓ,1,5,ల,1
ల,2,5,గం,2
గం,3,5,ద,3
ఓ,1,4,ల,3
ల,2,4,గ,8
ల,2,4,గిం,3
ఓ,1,6,ల,2
ల,2,6,చెం,1
చెం,3,6,గ,1
గ,4,6,నా,1
ఓ,1,3,ల,2
ల,2,3,మ,6
ల,2,6,మా,3
మా,3,6,స,2
స,4,6,గొ,1
ల,2,4,లా,1
ఓ,1,3,లా,2
ఓ,1,5,లా,1
లా,2,5,కు,1
కు,3,5,ప,6
లా,2,3,డు,6
ఓ,1,2,లి,1
ఓ,1,3,లి,1
లి,2,3,మి,10
ఓ,1,3,ల్,1
ఓ,1,4,ల్,1
ఓ,1,3,వ,2
వ,2,3,ర్‌,3
ఓ,1,4,వి,1
వి,2,4,ర,2
ఓ,1,2,వు,1
ఓ,1,3,ష,2
ష,2,3,ధి,3
ఓ,1,7,ష,1
ష,2,7,ధీ,1
ధీ,3,7,వి,1
ఓ,1,5,ష,1
ష,2,5,ధీ,1
ధీ,3,5,శుం,1
శుం,4,5,డు,8
ఓ,1,3,ష్,1
ఓ,1,4,స,1
స,2,4,రిం,4
ఓ,1,5,స,1
ఓ,1,3,స,1
ఓ,1,4,హ,2
హ,2,4,ట,2
హ,2,4,టిం,1
ఓ,1,5,హ,1
హ,2,5,టి,1
ఓ,1,6,హ,1
హ,2,6,రి,1
రి,3,6,సా,1
సా,4,6,హ,2
హ,5,6,రి,2
ఓ,1,2,హో,1
ఓ,1,3,హో,1
హో,2,3,రె,1
ఓ,1,2,హ్‌,1
హ్‌,2,2,-,1
క,1,1,-,1
క£,1,1,-,1
కం,1,1,-,1
కం,1,4,క,5
క,2,4,ట,8
కం,1,3,క,3
క,2,4,ణా,1
ణా,3,4,యి,1
క,2,4,తి,1
కం,1,6,క,2
క,2,6,ప,2
కం,1,5,క,1
క,2,5,ము,3
క,2,6,ర,6
ర,3,6,గా,3
గా,4,6,డి,3
డి,5,6,ద,3
కం,1,4,కా,1
కా,2,4,ళ,1
కం,1,2,కి,1
కి,2,2,-,22
కం,1,2,కు,1
కం,1,3,కుం,1
కం,1,3,కే,1
కే,2,3,ళి,1
కం,1,3,గ,1
గ,2,3,టి,3
కం,1,4,గా,1
గా,2,4,ణ,1
కం,1,3,గా,1
గా,2,3,రు,3
కం,1,3,గి,1
గి,2,3,స,5
కం,1,2,గు,1
కం,1,7,గు,1
గు,2,7,నీ,1
నీ,3,7,ప,1
కం,1,3,గు,1
కం,1,3,గే,2
గే,2,3,లి,1
గే,2,3,ళి,1
కం,1,4,గొ,1
గొ,2,4,ట్,2
కం,1,3,గో,1
గో,2,3,రు,2
కం,1,2,చ,1
కం,1,3,చ,3
చ,2,3,ము,16
కం,1,6,చ,1
కం,1,4,చ,1
చ,2,4,ర,4
చ,2,3,రి,1
కం,1,2,చి,1
చి,2,2,-,34
కం,1,4,చి,1
చి,2,4,మేం,1
మేం,3,4,క,1
కం,1,3,చి,1
కం,1,2,చు,1
కం,1,4,చు,6
చు,2,4,కం,1
కం,3,4,టు,2
చు,2,4,క,3
క,3,4,మ్‌,6
కం,1,3,చు,3
చు,2,3,కి,1
చు,2,4,లి,1
చు,2,3,లీ,1
లీ,3,3,-,16
చు,2,4,ళి,1
చు,2,3,ళీ,1
ళీ,3,3,-,5
కం,1,2,చె,1
కం,1,4,చె,2
చె,2,4,కో,2
కో,3,4,ట,2
చె,2,4,గో,1
గో,3,4,డ,3
కం,1,3,చె,1
కం,1,3,చే,2
చే,2,3,ము,7
చే,2,3,ర,2
కం,1,6,చే,1
చే,2,6,ర,1
కం,1,4,చే,1
చే,2,4,ర,4
కం,1,4,జ,1
జ,2,4,జుం,1
కం,1,3,జ,1
కం,1,4,జా,1
జా,2,4,త,1
కం,1,2,జు,1
కం,1,3,జుం,1
కం,1,2,జో,1
కం,1,2,ట,1
కం,1,3,ట,2
ట,2,3,కః,1
కం,1,5,ట,3
క,3,5,పుం,2
పుం,4,5,ఖి,1
ఖి,5,5,-,3
కం,1,6,ట,1
క,3,6,ఫ,1
ఫ,4,6,ల,3
కం,1,4,ట,6
ట,2,4,కుం,3
ట,2,4,గిం,1
ట,2,5,గి,3
ట,2,4,ల,5
ట,2,4,స,3
స,3,4,రి,13
కం,1,3,టి,2
కం,1,6,టి,1
టి,2,6,చె,1
చె,3,6,ల్,1
ల్,4,6,వ,2
వ,5,6,లు,1
కం,1,5,టి,1
టి,2,5,తె,1
కం,1,4,టి,2
టి,2,4,వా,1
కం,1,2,టు,1
కం,1,2,టె,1
కం,1,9,టెం,1
టెం,2,9,గ,1
గ,3,9,ష్,1
ష్,4,9,ట,1
ట,5,9,ము,1
ము,6,9,గ,1
గ,7,9,ల,4
ల,8,9,దే,1
దే,9,9,-,3
కం,1,5,టె,1
టె,2,5,ను,1
ను,3,5,బం,1
బం,4,5,కు,1
కం,1,8,టె,1
టె,2,8,రా,1
రా,3,8,కుం,1
కుం,4,8,డు,1
డు,5,8,టు,1
టు,6,8,అ,1
అ,7,8,వు,1
కం,1,4,ట్,1
ట్,2,4,ల,4
కం,1,2,ఠ,1
ఠ,2,2,-,10
కం,1,6,ఠ,1
ఠ,2,6,క,1
త,5,6,రి,2
కం,1,5,ఠ,2
ఠ,2,5,కు,1
కు,3,5,ఠా,2
ఠా,4,5,ర,2
ఠ,2,5,గు,1
గు,3,5,ణి,1
కం,1,3,ఠ,1
ఠ,2,3,ము,7
కం,1,4,ఠ,1
ఠ,2,4,స,1
కం,1,3,ఠి,2
ఠి,2,3,క,2
ఠి,2,3,కా,1
కం,1,5,ఠీ,1
ఠీ,2,5,ర,1
కం,1,5,ఠే,1
ఠే,2,5,కా,1
కా,3,5,లుం,2
లుం,4,5,దు,2
కం,1,4,ఠే,1
ఠే,2,4,రుం,1
కం,1,2,డ,1
కం,1,6,డ,2
డ,2,6,కా,1
కా,3,6,వ,1
డ,2,6,చ,1
చ,3,6,క్,3
కె,5,6,ర,2
కం,1,5,డ,2
డ,2,5,చు,2
చు,3,5,క్,1
క్,4,5,క,5
కం,1,4,డ,1
టి,4,5,ది,6
కం,1,3,డ,1
కం,1,3,డి,1
కం,1,3,డు,2
డు,2,3,వా,3
కం,1,3,డూ,3
డూ,2,3,తి,1
డూ,2,3,య,1
డూ,2,3,ర,1
కం,1,2,డె,1
కం,1,10,డె,1
డె,2,10,పుం,1
పుం,3,10,బి,1
బి,4,10,సా,1
సా,5,10,ళి,1
ళి,6,10,యు,1
యు,7,10,రం,1
రం,8,10,బు,1
బు,9,10,న,1
న,10,10,-,16
కం,1,4,డొం,1
డొం,2,4,దే,1
దే,3,4,ని,1
కం,1,4,డో,1
డో,2,4,ల,2
కం,1,5,డో,1
డో,2,5,ల,1
ల,3,5,వీ,2
వీ,4,5,ణ,2
కం,1,2,త,1
కం,1,2,తి,1
కం,1,2,తు,1
కం,1,3,తుం,1
తుం,2,3,డు,12
కం,1,3,తు,2
తు,2,3,న,1
కం,1,5,త్,1
రా,3,5,క్,2
క్,4,5,టు,2
కం,1,2,థ,1
కం,1,4,థ,1
థ,2,4,టి,2
కం,1,2,థా,1
థా,2,2,-,5
కం,1,5,థా,1
థా,2,5,వా,1
వా,3,5,ట,1
కం,1,5,థీ,1
థీ,2,5,ర,1
ర,3,5,థ,3
కం,1,3,థు,1
థు,2,3,డు,2
కం,1,2,ద,1
కం,1,2,దః,1
దః,2,2,-,2
కం,1,4,ద,6
ద,2,4,ణ,1
కం,1,5,ద,4
ద,2,5,న,8
న,3,5,గా,5
కం,1,3,ద,4
ద,2,5,రా,2
ద,2,4,రుం,3
ర్,3,5,చుం,2
చుం,4,5,డు,7
ద,2,4,ళ,5
ద,2,3,ళి,2
ద,2,4,ళిం,2
ద,2,5,ళి,2
ళి,3,5,క,1
కం,1,4,దా,1
కం,1,3,దా,1
దా,2,3,రి,6
కం,1,2,ది,1
కం,1,2,దు,1
కం,1,3,దుం,1
కం,1,3,దు,4
కం,1,4,దు,3
దు,2,4,రీం,1
రీం,3,4,గ,1
దు,2,4,వా,2
కం,1,2,దె,1
కం,1,3,దె,3
దె,2,3,జ,1
దె,2,3,న,4
కం,1,3,ధ,1
కం,1,5,ధ,1
ధ,2,5,రా,2
రా,3,5,గో,1
గో,4,5,ళ,1
కం,1,2,ధి,1
కం,1,2,ప,1
కం,1,4,ప,6
ప,2,4,గో,1
ప,2,4,న,12
కం,1,5,ప,2
ప,2,5,మం,1
మం,3,5,డ,2
డ,4,5,లు,6
ప,2,5,ము,1
ప,2,4,ష,1
కం,1,3,పిం,1
పిం,2,3,చు,16
కం,1,4,పి,1
కం,1,5,పి,1
పి,2,5,ల్,2
ల్,3,5,ల,9
కం,1,2,పు,1
కం,1,5,పుం,1
పుం,2,5,దు,1
దు,3,5,మ్,1
కం,1,6,పు,1
పు,2,6,టి,1
టి,3,6,రు,1
రు,4,6,గు,4
కం,1,2,పె,1
కం,1,4,పె,1
పె,2,4,లు,1
లు,3,4,క,11
కం,1,5,ప్,1
ప్,2,5,యూ,1
యూ,3,5,ట,1
ట,4,5,ర్‌,4
ర్‌,5,5,-,15
కం,1,4,ప్,2
కం,1,4,బ,3
బ,2,4,డ,3
కం,1,3,బ,5
బ,2,3,డి,5
బ,2,3,డు,4
కం,1,5,బ,3
బ,2,5,మ,1
మ,3,5,య్,4
బ,2,3,ము,14
కం,1,6,బ,3
బ,2,6,ము,1
ము,3,6,రా,1
రా,4,6,యం,5
యం,5,6,డు,5
బ,2,6,ర,3
ర,3,6,త్,3
త్,4,6,రాం,1
రాం,5,6,డు,2
ల,3,4,మ్‌,1
బ,2,3,ళ,3
బ,2,4,ళ,5
బ,2,5,ళి,1
ళి,3,5,పం,1
పం,4,5,డు,9
బ,2,6,ళి,1
ళి,3,6,పు,2
బ,2,5,వ,2
వ,3,5,ల్,11
ల్,4,5,లి,23
కం,1,10,బ,1
బ,2,10,వ్,1
వ్,3,10,వీ,1
వీ,4,10,రు,1
రు,5,10,పై,1
పై,6,10,నా,1
టి,8,10,న,1
న,9,10,క,5
కం,1,4,బా,1
బా,2,4,లా,1
కం,1,2,బి,1
కం,1,2,బు,1
కం,1,5,బు,1
బు,2,5,గ్,1
గ్,3,5,రీ,1
రీ,4,5,వ,1
కం,1,8,బు,1
బు,2,8,నం,1
నం,3,8,బు,3
బు,4,8,ట,1
ట,5,8,పు,1
పు,6,8,ట,2
ట,7,8,నై,1
నై,8,8,-,1
కం,1,3,బు,2
బు,2,3,ల,1
కం,1,4,బు,3
బు,2,4,ల,2
ల,3,4,క,16
బు,2,4,లు,2
బు,2,4,సే,1
సే,3,4,య,1
కం,1,4,బూ,1
బూ,2,4,క,2
కం,1,4,బో,1
బో,2,4,లె,1
లె,3,4,క,1
కం,1,2,భీ,1
భీ,2,2,-,1
కం,1,2,స,1
కం,1,3,స,1
కం,1,4,స,1
కం,1,4,సా,1
సా,2,4,రా,1
రా,3,4,తి,4
కం,1,3,సు,1
సు,2,3,డు,3
క,1,4,అ,2
క,1,3,అ,3
అ,2,3,కు,4
క,1,5,అ,1
అ,2,5,కు,1
కు,3,5,ట్,4
క,1,6,అ,1
కు,3,6,దు,1
దు,4,6,మ్,1
అ,2,3,ద,1
అ,2,4,నూ,1
క,1,2,క,1
క,1,6,కం,1
కం,2,6,ఘో,1
ఘో,3,6,ష,1
ష,4,6,మ,1
మ,5,6,ణి,2
క,1,4,క,1
పా,3,4,ల,9
క,1,13,క,1
క,2,13,ప్,1
ప్,3,13,పు,1
పు,4,13,క,1
క,5,13,ప్,1
ప్,6,13,పు,1
పు,7,13,ర,1
ర,8,13,మే,1
మే,9,13,ల,1
ల,10,13,రం,1
రం,11,13,తు,1
తు,12,13,లు,3
క,1,25,క,1
క,2,25,బ్,1
బ్,3,25,బ,1
బ,4,25,ము,1
ము,5,25,ల్,1
ల్,6,25,వె,1
వె,7,25,ల,1
ల,8,25,యు,1
యు,9,25,నె,1
నె,10,25,య్,1
య్,11,25,యె,1
యె,12,25,డ,1
డ,13,25,నె,1
నె,14,25,ల్,1
ల్,15,25,ల,1
ల,16,25,రు,1
రు,17,25,మె,1
మె,18,25,చ్,1
చ్,19,25,చ,1
చ,20,25,న,1
న,21,25,చ్,1
చ్,22,25,చు,1
చు,23,25,గ,1
గ,24,25,క,1
క,25,25,-,1
క,1,5,క,1
వి,3,5,క,3
క,1,5,కా,1
కా,2,5,వి,1
క,1,6,కు,2
కు,2,6,తి,1
తి,3,6,రు,1
గు,5,6,ట,2
క,1,4,కు,6
కు,2,4,త్,1
కు,2,4,ద,3
కు,2,4,దృ,1
దృ,3,4,తి,1
కు,2,6,ద్,1
ద్,3,6,మం,1
కు,2,4,ద్,1
ద్,3,4,మి,1
కు,2,4,భ,1
క,1,5,క్,7
పా,4,5,ల,5
క,1,4,క్,6
క,1,6,క్,2
స,4,6,ప,2
క,1,7,క్,2
స,4,7,పె,1
క,3,5,సిం,3
క,1,8,క్,1
క్,2,6,కుం,2
కుం,3,6,దె,1
కు,3,5,జి,1
జి,4,5,తి,1
కు,3,7,జి,1
జి,4,7,తి,1
తి,5,7,కాం,1
కు,3,4,భ,1
కు,3,5,వా,2
వా,4,5,యి,5
క,1,3,క్,2
క్,2,3,ష,13
ష,3,3,-,34
ష,3,5,పా,2
క్,2,3,షా,3
క్,2,4,ష్,9
ష్,3,4,యా,1
